央视频道,#genre#
深圳卫视,http://117.27.190.42:9901/tsfile/live/23274_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://144.52.162.250:9901/tsfile/live/1053_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://121.19.134.138:808/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://123.183.24.83:6666/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://117.27.190.42:9901/tsfile/live/23275_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://219.137.29.213:4433/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://123.154.30.205:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=0&authid=0
湖南卫视,http://117.27.190.42:9901/tsfile/live/23276_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视,http://121.19.134.138:808/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视,http://123.183.24.83:6666/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视,http://144.52.162.250:9901/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
西藏卫视,http://121.19.134.138:808/tsfile/live/0111_1.m3u8?key=txiptv&playlive=1&authid=0
西藏卫视,http://144.52.162.250:9901/tsfile/live/1061_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://220.180.109.207:9902/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://144.52.162.250:9901/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://123.183.24.83:6666/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://117.27.190.42:9901/tsfile/live/23253_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://144.52.162.250:9901/tsfile/live/1048_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://121.19.134.138:808/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://113.135.194.13:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://117.27.190.42:9901/tsfile/live/23254_1.m3u8?key=txiptv&playlive=1&authid=0
陕西卫视,http://144.52.162.250:9901/tsfile/live/1047_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视,http://144.52.162.250:9901/tsfile/live/1045_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://117.27.190.42:9901/tsfile/live/23256_1.m3u8?key=txiptv&playlive=1&authid=0
其他频道,#genre#
厦门1,http://117.27.190.42:9901/tsfile/live/23293_1.m3u8?key=txiptv&playlive=1&authid=0
厦门2,http://117.27.190.42:9901/tsfile/live/23294_1.m3u8?key=txiptv&playlive=1&authid=0
三明综合,http://117.27.190.42:9901/tsfile/live/23298_1.m3u8?key=txiptv&playlive=1&authid=0
临沂农科,http://144.52.162.250:9901/tsfile/live/1060_1.m3u8?key=txiptv&playlive=1&authid=0
临沂综合,http://144.52.162.250:9901/tsfile/live/1058_1.m3u8?key=txiptv&playlive=1&authid=0
优漫卡通,http://144.52.162.250:9901/tsfile/live/1057_1.m3u8?key=txiptv&playlive=1&authid=0
保定生活健康,http://121.19.134.138:808/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰中文,http://117.27.190.42:9901/tsfile/live/23280_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://117.27.190.42:9901/tsfile/live/23279_1.m3u8?key=txiptv&playlive=1&authid=0
